@RELATION weatherData

@ATTRIBUTE 'date' DATE 'dd.MM.yyyy'
@ATTRIBUTE 'time' {'00:00', '03:00', '06:00', '09:00', '12:00', '15:00', '18:00', '21:00'}
@ATTRIBUTE 'temperature' {cold, mild, hot}
@ATTRIBUTE 'pressure' {low, normal, high}
@ATTRIBUTE 'humidity' {low, normal, high}
@ATTRIBUTE 'precipitation' NUMERIC
@ATTRIBUTE 'health_influence' {positive, negative, dangerous}

@DATA
'28.11.2012','21:00',mild,normal,high,0,positive
'28.11.2012','18:00',mild,normal,high,0,positive
'28.11.2012','15:00',mild,normal,high,?,positive
'28.11.2012','12:00',mild,normal,high,?,positive
'28.11.2012','09:00',mild,normal,high,0,negative
'28.11.2012','06:00',mild,normal,high,0,negative
'28.11.2012','03:00',mild,normal,high,?,negative
'28.11.2012','00:00',mild,normal,high,?,positive
'27.11.2012','21:00',mild,normal,high,0.1,negative
'27.11.2012','18:00',mild,normal,high,0.1,negative
'27.11.2012','15:00',mild,normal,high,?,negative
'27.11.2012','12:00',mild,normal,high,?,positive
'27.11.2012','09:00',mild,normal,high,0.1,negative
'27.11.2012','06:00',mild,normal,high,0.1,negative
'27.11.2012','03:00',mild,normal,high,?,negative
'27.11.2012','00:00',mild,normal,high,?,negative
'26.11.2012','21:00',mild,normal,high,2,negative
'26.11.2012','18:00',mild,normal,high,3,negative
'26.11.2012','15:00',mild,normal,high,?,negative
'26.11.2012','12:00',mild,normal,high,?,negative
'26.11.2012','09:00',mild,normal,high,3,negative
'26.11.2012','06:00',mild,normal,high,3,negative
'26.11.2012','03:00',mild,normal,high,?,negative
'26.11.2012','00:00',mild,normal,high,?,negative
'25.11.2012','21:00',mild,normal,high,0.9,negative
'25.11.2012','18:00',mild,normal,high,0.1,negative
'25.11.2012','15:00',mild,normal,high,?,negative
'25.11.2012','12:00',mild,normal,high,?,negative
'25.11.2012','09:00',mild,normal,high,1,negative
'25.11.2012','06:00',mild,normal,high,1,negative
'25.11.2012','03:00',mild,high,high,?,negative
'25.11.2012','00:00',mild,high,high,?,negative
'24.11.2012','21:00',mild,high,high,0.1,negative
'24.11.2012','18:00',mild,high,high,0,negative
'24.11.2012','15:00',mild,high,high,?,negative
'24.11.2012','12:00',mild,high,high,?,negative
'24.11.2012','09:00',mild,high,high,0.1,negative
'24.11.2012','06:00',mild,high,high,0.1,negative
'24.11.2012','03:00',mild,high,high,?,negative
'24.11.2012','00:00',mild,high,high,?,negative
'23.11.2012','21:00',mild,high,high,0.8,negative
'23.11.2012','18:00',mild,high,high,0.8,negative
'23.11.2012','15:00',mild,high,high,?,negative
'23.11.2012','12:00',mild,high,high,?,negative
'23.11.2012','09:00',mild,high,high,0.1,negative
'23.11.2012','06:00',mild,high,high,0,negative
'23.11.2012','03:00',mild,high,high,?,negative
'23.11.2012','00:00',mild,high,high,?,negative
'22.11.2012','21:00',mild,high,normal,0,positive
'22.11.2012','18:00',mild,high,normal,0,positive
'22.11.2012','15:00',mild,high,normal,?,positive
'22.11.2012','12:00',mild,high,high,?,negative
'22.11.2012','09:00',mild,high,high,0,negative
'22.11.2012','06:00',mild,high,high,0.1,negative
'22.11.2012','03:00',mild,high,high,?,negative
'22.11.2012','00:00',mild,high,high,?,negative
'21.11.2012','21:00',mild,high,high,0,positive
'21.11.2012','18:00',mild,high,high,0,positive
'21.11.2012','15:00',mild,high,high,?,negative
'21.11.2012','12:00',mild,high,high,?,negative
'21.11.2012','09:00',mild,high,high,0,negative
'21.11.2012','06:00',mild,high,high,0,negative
'21.11.2012','03:00',mild,high,high,?,negative
'21.11.2012','00:00',mild,high,high,?,negative
'20.11.2012','21:00',mild,high,high,0,negative
'20.11.2012','18:00',mild,high,high,0,positive
'20.11.2012','15:00',mild,high,normal,?,positive
'20.11.2012','12:00',mild,high,high,?,negative
'20.11.2012','09:00',?,high,?,0,?
'20.11.2012','06:00',mild,high,high,0,negative
'20.11.2012','03:00',mild,normal,high,?,negative
'20.11.2012','00:00',mild,normal,high,?,negative
'19.11.2012','21:00',mild,normal,high,0.1,negative
'19.11.2012','18:00',mild,normal,high,0.1,negative
'19.11.2012','15:00',mild,normal,high,?,negative
'19.11.2012','12:00',mild,normal,high,?,negative
'19.11.2012','09:00',mild,normal,high,0.1,negative
'19.11.2012','06:00',mild,normal,high,0.1,negative
'19.11.2012','03:00',mild,normal,high,?,negative
'19.11.2012','00:00',mild,normal,high,?,negative
'18.11.2012','21:00',mild,normal,high,0.1,negative
'18.11.2012','18:00',mild,normal,high,0.1,negative
'18.11.2012','15:00',mild,normal,high,?,negative
'18.11.2012','12:00',mild,normal,high,?,negative
'18.11.2012','09:00',mild,normal,high,0.1,negative
'18.11.2012','06:00',mild,normal,high,0.1,negative
'18.11.2012','03:00',mild,normal,high,?,negative
'18.11.2012','00:00',mild,normal,high,?,negative
'17.11.2012','21:00',mild,normal,high,2,negative
'17.11.2012','18:00',mild,normal,high,3,negative
'17.11.2012','15:00',mild,normal,high,?,negative
'17.11.2012','12:00',mild,normal,high,?,negative
'17.11.2012','09:00',mild,normal,high,2,negative
'17.11.2012','06:00',mild,normal,high,2,negative
