@RELATION weatherData

@ATTRIBUTE 'date' DATE 'dd.MM.yyyy'
@ATTRIBUTE 'time' DATE 'HH:mm'
@ATTRIBUTE 'temperature' NUMERIC
@ATTRIBUTE 'pressure' NUMERIC
@ATTRIBUTE 'deltaPressure' NUMERIC
@ATTRIBUTE 'humidity' NUMERIC
@ATTRIBUTE 'health_influence' {negative_influence, positive_influence, dangerous_influence}
@ATTRIBUTE 'dropPressure' {no, yes}


@DATA
'28.11.2012','12:00',-1.7,762.3,?,78,negative_influence,?
'27.11.2012','12:00',2.0,762.3,0.0,76,negative_influence,no
'26.11.2012','12:00',3.4,759.2,3.1,95,negative_influence,no
'25.11.2012','12:00',3.7,764.1,4.9,93,negative_influence,no
'24.11.2012','12:00',6.0,767.5,3.4,93,negative_influence,no
'23.11.2012','12:00',4.8,766.3,1.2,91,negative_influence,no
'22.11.2012','12:00',6.0,771.2,4.9,82,negative_influence,no
'21.11.2012','12:00',5.7,770.0,1.2,83,negative_influence,no
'20.11.2012','12:00',5.2,766.6,3.4,81,negative_influence,no
'19.11.2012','12:00',3.6,759.1,7.5,90,negative_influence,no
'18.11.2012','12:00',4.0,761.7,2.6,94,negative_influence,no
'17.11.2012','12:00',6.2,763.3,1.6,97,negative_influence,no
'16.11.2012','12:00',3.9,760.5,2.8,85,negative_influence,no
'15.11.2012','12:00',6.9,752.1,8.4,95,negative_influence,no
'14.11.2012','12:00',5.2,763.6,11.5,95,negative_influence,yes
'13.11.2012','12:00',4.0,761.5,2.1,64,negative_influence,no
'12.11.2012','12:00',6.4,752.5,9.0,93,negative_influence,no
'11.11.2012','12:00',0.3,763.4,10.9,85,negative_influence,yes
'10.11.2012','12:00',1.1,767.2,3.8,79,negative_influence,no
'09.11.2012','12:00',-0.2,754.0,13.2,76,positive_influence,yes
'08.11.2012','12:00',2.0,746.9,7.1,83,negative_influence,no
'07.11.2012','12:00',2.8,737.3,9.6,91,negative_influence,no
'06.11.2012','12:00',4.0,737.1,0.2,95,negative_influence,no
'05.11.2012','12:00',4.9,755.2,18.1,92,negative_influence,yes
'04.11.2012','12:00',5.7,751.0,4.2,92,negative_influence,no
'03.11.2012','12:00',4.2,752.2,1.2,93,negative_influence,no
'02.11.2012','12:00',3.6,758.2,6.0,88,negative_influence,no
'01.11.2012','12:00',2.1,762.9,4.7,100,negative_influence,no
'31.10.2012','12:00',-0.9,750.4,12.5,94,negative_influence,yes
'30.10.2012','12:00',-1.3,762.3,11.9,79,negative_influence,yes
'29.10.2012','12:00',0.6,760.1,2.2,94,negative_influence,no
'28.10.2012','12:00',0.7,755.1,5.0,81,negative_influence,no
'27.10.2012','12:00',1.4,750.8,4.3,63,positive_influence,no
'26.10.2012','12:00',-0.2,736.1,14.7,86,negative_influence,yes
'25.10.2012','12:00',4.1,749.6,13.5,65,positive_influence,yes
'24.10.2012','12:00',5.6,757.4,7.8,91,negative_influence,no
'23.10.2012','12:00',4.0,769.0,11.6,77,negative_influence,yes
'22.10.2012','12:00',5.3,771.5,2.5,65,negative_influence,no
'21.10.2012','12:00',7.0,761.6,9.9,95,negative_influence,no
'20.10.2012','12:00',10.5,765.2,3.6,86,negative_influence,no
'19.10.2012','12:00',13.4,759.7,5.5,71,positive_influence,no
'18.10.2012','12:00',10.5,763.3,3.6,77,negative_influence,no
'17.10.2012','12:00',11.1,757.4,5.9,92,negative_influence,no
'16.10.2012','12:00',10.6,757.6,0.2,89,negative_influence,no
'15.10.2012','12:00',6.2,760.5,2.9,94,negative_influence,no
'14.10.2012','12:00',7.4,761.3,0.8,74,negative_influence,no
'13.10.2012','12:00',6.8,761.3,0.0,71,negative_influence,no
'12.10.2012','12:00',7.6,759.6,1.7,76,positive_influence,no
'11.10.2012','12:00',7.6,753.0,6.6,81,negative_influence,no
'10.10.2012','12:00',7.2,746.9,6.1,93,negative_influence,no
'09.10.2012','12:00',8.8,748.4,1.5,81,negative_influence,no
'08.10.2012','12:00',8.7,751.1,2.7,75,positive_influence,no
'07.10.2012','12:00',11.2,747.8,3.3,73,positive_influence,no
'06.10.2012','12:00',8.4,747.2,0.6,84,negative_influence,no
'05.10.2012','12:00',13.8,750.7,3.5,83,negative_influence,no
'04.10.2012','12:00',11.4,757.3,6.6,90,negative_influence,no
'03.10.2012','12:00',14.1,762.1,4.8,78,negative_influence,no
