@relation 'weatherDatass'

@attribute temperature {hot, mild, cold}
@attribute pressure {high, normal, low}
@attribute humidity {high, normal, low}
@attribute dropPressure {no,yes}

@data
mild,normal,high,?
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,high,high,no
mild,high,high,no
mild,high,high,no
mild,high,high,no
mild,high,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,yes
mild,normal,normal,no
mild,normal,high,no
mild,normal,high,yes
mild,high,high,no
mild,normal,high,yes
mild,low,high,no
mild,low,high,no
mild,low,high,no
mild,normal,high,yes
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,yes
mild,normal,high,yes
mild,normal,high,no
mild,normal,high,no
mild,normal,normal,no
mild,low,high,yes
mild,low,normal,yes
mild,normal,high,no
mild,high,high,yes
mild,high,normal,no
mild,normal,high,no
mild,high,high,no
mild,normal,normal,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,normal,no
mild,normal,normal,no
mild,normal,high,no
mild,normal,high,no
mild,low,high,no
mild,low,high,no
mild,normal,normal,no
mild,low,normal,no
mild,low,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
hot,normal,normal,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,low,high,no
mild,normal,high,no
mild,high,normal,yes
mild,normal,normal,no
mild,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,low,high,no
mild,normal,high,no
hot,normal,high,no
hot,normal,normal,no
hot,normal,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,low,normal,no
mild,normal,high,no
mild,normal,high,no
hot,normal,normal,no
mild,normal,normal,no
hot,normal,high,no
mild,normal,high,no
mild,high,normal,yes
mild,high,normal,no
hot,high,normal,no
hot,normal,high,no
hot,normal,normal,no
hot,normal,high,no
hot,normal,high,no
hot,normal,high,no
hot,normal,normal,no
mild,low,high,no
hot,normal,normal,yes
mild,high,normal,no
mild,normal,normal,no
hot,normal,high,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
?,normal,?,no
hot,high,normal,no
hot,high,normal,no
hot,high,normal,no
mild,high,normal,no
mild,normal,high,no
mild,normal,normal,no
hot,normal,high,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,high,no
hot,normal,normal,no
hot,high,normal,no
hot,normal,high,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,high,no
hot,normal,high,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,low,normal,no
hot,low,high,no
hot,normal,normal,no
hot,normal,normal,no
hot,low,high,no
hot,normal,high,no
hot,normal,normal,no
hot,normal,high,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,high,normal,no
hot,high,normal,no
hot,high,normal,no
hot,high,normal,no
hot,normal,normal,no
hot,normal,high,no
hot,high,normal,no
hot,normal,normal,no
mild,normal,normal,no
hot,low,normal,no
hot,normal,normal,no
hot,normal,normal,no
mild,normal,high,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
mild,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,low,high,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
mild,normal,normal,no
hot,normal,normal,no
hot,normal,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,low,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,normal,high,no
mild,normal,normal,no
hot,normal,normal,no
hot,normal,normal,yes
mild,normal,normal,no
hot,high,normal,no
mild,high,normal,no
mild,high,normal,no
hot,normal,normal,no
hot,normal,normal,no
hot,high,normal,no
mild,high,normal,no
mild,normal,high,no
hot,normal,normal,no
hot,normal,normal,no
hot,high,normal,no
mild,high,normal,no
mild,normal,normal,no
mild,normal,normal,yes
mild,normal,high,no
hot,high,normal,no
hot,high,normal,no
mild,high,normal,no
mild,normal,high,no
mild,normal,normal,no
mild,low,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,high,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,low,high,no
mild,normal,normal,yes
mild,normal,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,low,high,no
mild,normal,high,no
mild,normal,normal,no
mild,normal,normal,no
mild,normal,normal,no
mild,low,normal,yes
mild,low,normal,no
mild,low,normal,no
mild,low,normal,no
mild,low,normal,no
mild,low,high,no
mild,normal,high,no
mild,normal,high,no
mild,high,normal,no
mild,normal,normal,no
mild,high,normal,no
mild,normal,normal,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,yes
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,normal,no
mild,normal,normal,yes
mild,low,high,no
mild,low,high,no
mild,normal,high,no
mild,normal,high,yes
mild,high,normal,yes
mild,high,high,no
mild,high,high,no
mild,high,normal,no
mild,high,high,no
mild,high,normal,no
mild,normal,normal,no
mild,low,high,yes
mild,normal,high,yes
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,low,high,no
mild,low,high,no
mild,low,high,no
mild,low,high,no
mild,normal,high,yes
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
cold,normal,normal,no
cold,normal,high,no
cold,normal,high,no
cold,high,high,no
cold,high,normal,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,high,no
cold,high,normal,no
cold,high,normal,no
mild,high,high,no
cold,normal,normal,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,high,high,no
mild,high,high,no
mild,normal,normal,no
mild,normal,high,no
mild,low,high,yes
mild,low,high,yes
mild,low,high,yes
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,normal,no
mild,low,high,yes
mild,low,high,no
mild,low,?,no
mild,low,high,no
mild,normal,high,yes
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,low,high,no
mild,low,high,no
mild,normal,normal,no
mild,low,high,yes
mild,low,normal,no
mild,normal,high,yes
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,normal,no
mild,low,high,no
mild,low,high,no
mild,low,high,no
mild,normal,high,no
mild,low,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,low,high,yes
mild,low,high,no
mild,normal,high,yes
mild,normal,high,no
mild,low,high,no
mild,low,high,yes
mild,low,high,no
mild,low,high,no
mild,low,high,yes
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,low,high,yes
mild,low,high,yes
mild,normal,high,yes
mild,normal,high,no
mild,high,high,no
mild,high,high,no
mild,high,normal,no
mild,high,high,no
mild,low,high,yes
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,normal,no
mild,normal,high,no
mild,high,high,yes
mild,high,high,no
mild,high,high,no
mild,high,high,no
mild,high,normal,no
mild,normal,high,no
mild,high,high,no
mild,high,normal,no
mild,high,high,no
mild,high,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,yes
mild,normal,high,no
mild,normal,high,no
mild,high,high,no
mild,high,high,no
mild,high,high,no
mild,high,high,no
mild,high,high,no
mild,high,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,high,no
mild,normal,normal,no
mild,normal,high,no
mild,high,high,no
mild,high,high,no
mild,high,high,no
mild,normal,high,yes
mild,low,high,no
mild,low,high,no
mild,normal,high,yes
