@relation 'weatherData-weka.filters.unsupervised.attribute.Remove-R1-2,6-7'

@attribute temperature numeric
@attribute pressure numeric
@attribute humidity numeric

@data
-3.2,761.5,79
-3,761.9,79
-2.1,762,80
-1.7,762.3,78
-1.9,762.4,82
-1.7,762.9,87
-0.6,763,86
0.1,763.5,80
0.8,763.4,88
0.6,763.2,85
1.8,762.9,82
2,762.3,76
2,761.2,91
1.8,760.5,91
2.6,760.3,91
3.1,759.8,91
3.4,759.2,93
3.4,759.1,93
3.3,758.9,93
3.4,759.2,95
2.5,759,93
1.6,759.5,92
1.3,760.1,94
1.3,761,92
1.3,761.7,92
2.4,762.6,93
3.3,763.3,93
3.7,764.1,93
3.6,764.6,93
3.5,765,93
3.6,765.8,93
4.1,766.4,93
5.2,766.7,92
6.2,767,91
6.3,767.1,91
6,767.5,93
5.4,767,92
5.4,766.9,94
5.6,767.1,94
5.6,766.6,94
5.4,766.4,95
5.6,766.4,91
5.1,766.2,92
4.8,766.3,91
4.4,766.4,90
4,766.6,92
4,767.2,87
4.3,767.8,84
5,768.4,73
5.2,769.1,71
5.7,770.1,68
6,771.2,82
5.7,771.2,85
5.5,771.6,91
5.3,771.9,89
5.4,771.7,83
5.7,771.4,77
6,771.1,77
6.2,770.5,81
5.7,770,83
5.4,769.3,83
5.1,768.4,83
5,768,83
4.6,767.3,84
4.1,766.6,82
3.8,766.9,77
4.9,766.4,72
5.2,766.6,81
?,765.8,?
5,765.3,86
4.7,764.7,87
4.7,763.6,86
4.6,762.7,86
5.2,761.7,86
5,760,89
3.6,759.1,90
3.2,758.2,86
3.4,758,86
3.5,758.1,88
3.8,758.2,90
3.4,759.1,90
3.8,759.8,88
4.2,760.6,84
4,761.7,94
4.1,762.2,85
4.8,762.9,86
5.4,763.5,92
6.2,763.7,95
6.6,764,93
7.2,763.9,93
7.1,763.4,93
6.2,763.3,97
5,762.9,92
4.6,762.2,90
4.8,761.8,89
5,761.8,86
4.9,761.7,83
5,761.3,89
5.1,761.1,84
3.9,760.5,85
3.6,759.2,87
4.1,758,85
5.1,756.8,83
5.6,755.4,86
5.7,754.3,92
4.8,753.7,93
5.4,751.2,94
6.9,752.1,95
7.2,754.4,95
6,756.5,95
6.6,757.7,94
6.3,758.8,94
7.4,759.8,93
7.2,761,93
5.8,762.1,92
5.2,763.6,95
3.6,764.1,?
3.4,764.4,86
2.6,765.8,72
2,765.8,64
1.8,765.6,60
1.8,765.1,58
3.7,763,57
4,761.5,64
4.8,759.2,75
5.1,757.6,83
5.4,756.3,83
6.2,754.7,81
6.3,753.4,79
6.6,752.6,79
7.9,752.3,74
6.4,752.5,93
5.2,752.6,92
4.2,753.9,93
4,755.9,88
3.6,757.5,85
3.1,758.8,81
2.4,760.1,81
3,761.7,81
0.3,763.4,85
0.2,764.3,84
0.4,765.2,82
0.3,766.1,85
0.1,766.7,84
-0.1,767,84
1,767.2,83
2.7,767.3,72
1.1,767.2,79
-0.2,766.2,88
-1.3,765,81
-0.8,763.6,88
-0.3,762,84
0.2,759.7,80
0.4,757.4,70
1.3,755.9,63
-0.2,754,76
-1.6,751.7,89
0.3,750.4,80
1.4,749.4,83
1.8,749.2,92
2.4,749,91
3,748.4,86
3.3,747.8,78
2,746.9,83
-0.1,745.5,90
0.7,743.5,79
1.7,741.7,78
3.6,740.3,87
2.4,739.3,94
2,739,94
1.2,738.6,92
2.8,737.3,91
2.9,737.8,89
2.9,738.9,79
2.6,738.3,93
1.8,737,94
1.9,735.8,92
3.4,735.8,91
3.4,736.3,93
4,737.1,95
4.5,736.7,95
3.1,737.2,94
2.8,739.6,97
