@RELATION weatherData

@ATTRIBUTE 'season' {autumn, winter, spring, summer}
@ATTRIBUTE 'time' {'00:00', '03:00', '06:00', '09:00', '12:00', '15:00', '18:00', '21:00'}
@ATTRIBUTE 'temperature' NUMERIC
@ATTRIBUTE 'pressure' NUMERIC
@ATTRIBUTE 'humidity' NUMERIC
@ATTRIBUTE 'precipitation' NUMERIC
@ATTRIBUTE 'health_influence' {positive, negative, dangerous}

@DATA
autumn,'21:00',-3.2,761.5,79,0,positive
autumn,'18:00',-3.0,761.9,79,0,positive
autumn,'15:00',-2.1,762.0,80,?,positive
autumn,'12:00',-1.7,762.3,78,?,positive
autumn,'09:00',-1.9,762.4,82,0,negative
autumn,'06:00',-1.7,762.9,87,0,negative
autumn,'03:00',-0.6,763.0,86,?,negative
autumn,'00:00',0.1,763.5,80,?,positive
autumn,'21:00',0.8,763.4,88,0.1,negative
autumn,'18:00',0.6,763.2,85,0.1,negative
autumn,'15:00',1.8,762.9,82,?,negative
autumn,'12:00',2.0,762.3,76,?,positive
autumn,'09:00',2.0,761.2,91,0.1,negative
autumn,'06:00',1.8,760.5,91,0.1,negative
autumn,'03:00',2.6,760.3,91,?,negative
autumn,'00:00',3.1,759.8,91,?,negative
autumn,'21:00',3.4,759.2,93,2,negative
autumn,'18:00',3.4,759.1,93,3,negative
autumn,'15:00',3.3,758.9,93,?,negative
autumn,'12:00',3.4,759.2,95,?,negative
autumn,'09:00',2.5,759.0,93,3,negative
autumn,'06:00',1.6,759.5,92,3,negative
autumn,'03:00',1.3,760.1,94,?,negative
autumn,'00:00',1.3,761.0,92,?,negative
autumn,'21:00',1.3,761.7,92,0.9,negative
autumn,'18:00',2.4,762.6,93,0.1,negative
autumn,'15:00',3.3,763.3,93,?,negative
autumn,'12:00',3.7,764.1,93,?,negative
autumn,'09:00',3.6,764.6,93,1,negative
autumn,'06:00',3.5,765.0,93,1,negative
autumn,'03:00',3.6,765.8,93,?,negative
autumn,'00:00',4.1,766.4,93,?,negative
autumn,'21:00',5.2,766.7,92,0.1,negative
autumn,'18:00',6.2,767.0,91,0,negative
autumn,'15:00',6.3,767.1,91,?,negative
autumn,'12:00',6.0,767.5,93,?,negative
autumn,'09:00',5.4,767.0,92,0.1,negative
autumn,'06:00',5.4,766.9,94,0.1,negative
autumn,'03:00',5.6,767.1,94,?,negative
autumn,'00:00',5.6,766.6,94,?,negative
autumn,'21:00',5.4,766.4,95,0.8,negative
autumn,'18:00',5.6,766.4,91,0.8,negative
autumn,'15:00',5.1,766.2,92,?,negative
autumn,'12:00',4.8,766.3,91,?,negative
autumn,'09:00',4.4,766.4,90,0.1,negative
autumn,'06:00',4.0,766.6,92,0,negative
autumn,'03:00',4.0,767.2,87,?,negative
autumn,'00:00',4.3,767.8,84,?,negative
autumn,'21:00',5.0,768.4,73,0,positive
autumn,'18:00',5.2,769.1,71,0,positive
autumn,'15:00',5.7,770.1,68,?,positive
autumn,'12:00',6.0,771.2,82,?,negative
autumn,'09:00',5.7,771.2,85,0,negative
autumn,'06:00',5.5,771.6,91,0.1,negative
autumn,'03:00',5.3,771.9,89,?,negative
autumn,'00:00',5.4,771.7,83,?,negative
autumn,'21:00',5.7,771.4,77,0,positive
autumn,'18:00',6.0,771.1,77,0,positive
autumn,'15:00',6.2,770.5,81,?,negative
autumn,'12:00',5.7,770.0,83,?,negative
autumn,'09:00',5.4,769.3,83,0,negative
autumn,'06:00',5.1,768.4,83,0,negative
autumn,'03:00',5.0,768.0,83,?,negative
autumn,'00:00',4.6,767.3,84,?,negative
autumn,'21:00',4.1,766.6,82,0,negative
autumn,'18:00',3.8,766.9,77,0,positive
autumn,'15:00',4.9,766.4,72,?,positive
autumn,'12:00',5.2,766.6,81,?,negative
autumn,'09:00',?,765.8,?,0,?
autumn,'06:00',5.0,765.3,86,0,negative
autumn,'03:00',4.7,764.7,87,?,negative
autumn,'00:00',4.7,763.6,86,?,negative
autumn,'21:00',4.6,762.7,86,0.1,negative
autumn,'18:00',5.2,761.7,86,0.1,negative
autumn,'15:00',5.0,760.0,89,?,negative
autumn,'12:00',3.6,759.1,90,?,negative
autumn,'09:00',3.2,758.2,86,0.1,negative
autumn,'06:00',3.4,758.0,86,0.1,negative
autumn,'03:00',3.5,758.1,88,?,negative
autumn,'00:00',3.8,758.2,90,?,negative
autumn,'21:00',3.4,759.1,90,0.1,negative
autumn,'18:00',3.8,759.8,88,0.1,negative
autumn,'15:00',4.2,760.6,84,?,negative
autumn,'12:00',4.0,761.7,94,?,negative
autumn,'09:00',4.1,762.2,85,0.1,negative
autumn,'06:00',4.8,762.9,86,0.1,negative
autumn,'03:00',5.4,763.5,92,?,negative
autumn,'00:00',6.2,763.7,95,?,negative
autumn,'21:00',6.6,764.0,93,2,negative
autumn,'18:00',7.2,763.9,93,3,negative
autumn,'15:00',7.1,763.4,93,?,negative
autumn,'12:00',6.2,763.3,97,?,negative
autumn,'09:00',5.0,762.9,92,2,negative
autumn,'06:00',4.6,762.2,90,2,negative
autumn,'03:00',4.8,761.8,89,?,negative
autumn,'00:00',5.0,761.8,86,?,negative
autumn,'21:00',4.9,761.7,83,0,negative
autumn,'18:00',5.0,761.3,89,0,negative
autumn,'15:00',5.1,761.1,84,?,negative
autumn,'12:00',3.9,760.5,85,?,negative
autumn,'09:00',3.6,759.2,87,0,negative
autumn,'06:00',4.1,758.0,85,0.1,negative
autumn,'03:00',5.1,756.8,83,?,negative
autumn,'00:00',5.6,755.4,86,?,negative
autumn,'21:00',5.7,754.3,92,15,negative
autumn,'18:00',4.8,753.7,93,21,negative
autumn,'15:00',5.4,751.2,94,?,negative
autumn,'12:00',6.9,752.1,95,?,negative
autumn,'09:00',7.2,754.4,95,8,negative
autumn,'06:00',6.0,756.5,95,4,negative
autumn,'03:00',6.6,757.7,94,?,negative
autumn,'00:00',6.3,758.8,94,?,negative
autumn,'21:00',7.4,759.8,93,4,negative
autumn,'18:00',7.2,761.0,93,3,negative
autumn,'15:00',5.8,762.1,92,?,negative
autumn,'12:00',5.2,763.6,95,?,negative
autumn,'09:00',3.6,764.1,?,0.1,?
autumn,'06:00',3.4,764.4,86,0,negative
autumn,'03:00',2.6,765.8,72,?,positive
autumn,'00:00',2.0,765.8,64,?,positive
autumn,'21:00',1.8,765.6,60,0,positive
autumn,'18:00',1.8,765.1,58,0,positive
autumn,'15:00',3.7,763.0,57,?,positive
autumn,'12:00',4.0,761.5,64,?,positive
autumn,'09:00',4.8,759.2,75,0,positive
autumn,'06:00',5.1,757.6,83,0.1,negative
autumn,'03:00',5.4,756.3,83,?,negative
autumn,'00:00',6.2,754.7,81,?,negative
autumn,'21:00',6.3,753.4,79,0.4,positive
autumn,'18:00',6.6,752.6,79,5,positive
autumn,'15:00',7.9,752.3,74,?,positive
autumn,'12:00',6.4,752.5,93,?,negative
autumn,'09:00',5.2,752.6,92,8,negative
autumn,'06:00',4.2,753.9,93,3,negative
autumn,'03:00',4.0,755.9,88,?,negative
autumn,'00:00',3.6,757.5,85,?,negative
autumn,'21:00',3.1,758.8,81,0,negative
autumn,'18:00',2.4,760.1,81,0,negative
autumn,'15:00',3.0,761.7,81,?,negative
autumn,'12:00',0.3,763.4,85,?,negative
autumn,'09:00',0.2,764.3,84,0.1,negative
autumn,'06:00',0.4,765.2,82,0.1,negative
autumn,'03:00',0.3,766.1,85,?,negative
autumn,'00:00',0.1,766.7,84,?,negative
autumn,'21:00',-0.1,767.0,84,0,negative
autumn,'18:00',1.0,767.2,83,0,negative
autumn,'15:00',2.7,767.3,72,?,positive
autumn,'12:00',1.1,767.2,79,?,positive
autumn,'09:00',-0.2,766.2,88,0,negative
autumn,'06:00',-1.3,765.0,81,0,negative
autumn,'03:00',-0.8,763.6,88,?,negative
autumn,'00:00',-0.3,762.0,84,?,negative
autumn,'21:00',0.2,759.7,80,0,positive
autumn,'18:00',0.4,757.4,70,0,positive
autumn,'15:00',1.3,755.9,63,?,positive
autumn,'12:00',-0.2,754.0,76,?,positive
autumn,'09:00',-1.6,751.7,89,0.1,negative
autumn,'06:00',0.3,750.4,80,0.1,positive
autumn,'03:00',1.4,749.4,83,?,negative
autumn,'00:00',1.8,749.2,92,?,negative
autumn,'21:00',2.4,749.0,91,0.1,negative
autumn,'18:00',3.0,748.4,86,0,negative
autumn,'15:00',3.3,747.8,78,?,positive
autumn,'12:00',2.0,746.9,83,?,negative
autumn,'09:00',-0.1,745.5,90,5,negative
autumn,'06:00',0.7,743.5,79,8,positive
autumn,'03:00',1.7,741.7,78,?,positive
autumn,'00:00',3.6,740.3,87,?,negative
autumn,'21:00',2.4,739.3,94,6,negative
autumn,'18:00',2.0,739.0,94,3,negative
autumn,'15:00',1.2,738.6,92,?,negative
autumn,'12:00',2.8,737.3,91,?,negative
autumn,'09:00',2.9,737.8,89,1,negative
autumn,'06:00',2.9,738.9,79,2,positive
autumn,'03:00',2.6,738.3,93,?,negative
autumn,'00:00',1.8,737.0,94,?,negative
autumn,'21:00',1.9,735.8,92,0.8,negative
autumn,'18:00',3.4,735.8,91,0.1,negative
autumn,'15:00',3.4,736.3,93,?,negative
autumn,'12:00',4.0,737.1,95,?,negative
autumn,'09:00',4.5,736.7,95,16,negative
autumn,'06:00',3.1,737.2,94,15,negative
autumn,'03:00',2.8,739.6,97,?,negative
autumn,'00:00',2.5,743.6,94,?,negative
autumn,'21:00',3.4,748.4,93,4,negative
autumn,'18:00',4.8,751.8,92,0,negative
autumn,'15:00',5.6,754.1,92,?,negative
autumn,'12:00',4.9,755.2,92,?,negative
autumn,'09:00',3.6,755.0,93,0,negative
autumn,'06:00',1.7,754.5,95,6,negative
autumn,'03:00',3.8,752.8,93,?,negative
autumn,'00:00',3.3,751.6,93,?,negative
autumn,'21:00',4.9,750.7,94,2,negative
autumn,'18:00',5.2,750.5,92,0.3,negative
autumn,'15:00',5.5,750.6,92,?,negative
autumn,'12:00',5.7,751.0,92,?,negative
autumn,'09:00',4.4,751.0,93,1,negative
autumn,'06:00',4.8,751.4,93,2,negative
autumn,'03:00',6.0,751.1,94,?,negative
autumn,'00:00',5.9,750.8,92,?,negative
autumn,'21:00',5.0,750.1,94,2,negative
autumn,'18:00',4.8,750.3,93,2,negative
autumn,'15:00',4.4,751.0,93,?,negative
autumn,'12:00',4.2,752.2,93,?,negative
autumn,'09:00',4.2,753.1,93,3,negative
autumn,'06:00',4.1,753.8,90,2,negative
autumn,'03:00',4.0,754.7,90,?,negative
autumn,'00:00',4.4,755.6,87,?,negative
autumn,'21:00',4.9,756.2,84,0.1,negative
autumn,'18:00',5.7,756.3,88,0.1,negative
autumn,'15:00',5.5,757.1,83,?,negative
autumn,'12:00',3.6,758.2,88,?,negative
autumn,'09:00',2.4,759.5,91,0.1,negative
autumn,'06:00',2.0,760.9,91,0,negative
autumn,'03:00',1.7,762.2,87,?,negative
autumn,'00:00',1.2,763.2,88,?,negative
autumn,'21:00',0.9,763.9,88,0,negative
autumn,'18:00',0.8,764.0,90,0,negative
autumn,'15:00',1.6,763.1,95,?,negative
autumn,'12:00',2.1,762.9,100,?,negative
autumn,'09:00',3.1,761.0,93,0,negative
autumn,'06:00',2.7,759.1,93,0,negative
autumn,'03:00',2.2,757.3,92,?,negative
autumn,'00:00',2.0,755.4,92,?,negative
autumn,'21:00',0.9,753.8,90,1,negative
autumn,'18:00',0.5,752.9,88,1,negative
autumn,'15:00',0.8,751.4,92,?,negative
autumn,'12:00',-0.9,750.4,94,?,negative
autumn,'09:00',-1.3,749.2,92,9,negative
autumn,'06:00',-1.6,748.9,92,9,negative
autumn,'03:00',-1.6,749.8,94,?,negative
autumn,'00:00',-1.7,752.2,94,?,negative
autumn,'21:00',-0.8,755.1,75,0.1,positive
autumn,'18:00',-0.3,757.2,78,0,positive
autumn,'15:00',-0.7,759.8,75,?,positive
autumn,'12:00',-1.3,762.3,79,?,positive
autumn,'09:00',-2.8,762.5,91,0,negative
autumn,'06:00',-1.8,762.8,87,0,negative
autumn,'03:00',-0.9,763.3,83,?,negative
autumn,'00:00',0.1,762.7,88,?,negative
autumn,'21:00',0.8,762.3,86,0.8,negative
autumn,'18:00',1.8,761.8,85,?,negative
autumn,'15:00',1.0,761.0,90,?,negative
autumn,'12:00',0.6,760.1,94,?,negative
autumn,'09:00',-0.1,759.3,96,0.1,negative
autumn,'06:00',-3.1,758.6,96,0,negative
autumn,'03:00',-1.6,757.4,94,?,negative
autumn,'00:00',-1.0,756.7,90,?,negative
autumn,'21:00',0.0,756.1,86,0,negative
autumn,'18:00',1.0,755.2,79,0,positive
autumn,'15:00',0.5,755.0,80,?,positive
autumn,'12:00',0.7,755.1,81,?,negative
autumn,'09:00',0.0,755.0,90,0,negative
autumn,'06:00',0.2,754.8,86,0,negative
autumn,'03:00',0.0,755.4,88,?,negative
autumn,'00:00',-1.1,755.5,85,?,negative
autumn,'21:00',-0.2,755.1,78,0,positive
autumn,'18:00',1.2,754.0,74,0,positive
autumn,'15:00',2.2,752.8,66,?,positive
autumn,'12:00',1.4,750.8,63,?,positive
autumn,'09:00',-1.6,747.8,81,0.1,negative
autumn,'06:00',-2.4,745.1,84,0.1,negative
autumn,'03:00',-0.9,743.7,88,?,negative
autumn,'00:00',-0.9,742.2,71,?,positive
autumn,'21:00',-0.5,740.3,73,0.1,positive
autumn,'18:00',0.5,738.7,67,0,positive
autumn,'15:00',0.9,737.4,75,?,positive
autumn,'12:00',-0.2,736.1,86,?,negative
autumn,'09:00',-0.9,735.0,92,0.1,negative
autumn,'06:00',-0.5,734.9,90,0.1,negative
